Li Junguo, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
CHEN Wendong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
CHEN Xianqiang, Research Associate Scientist, Materials Science and Engineering
CHEN Xiaofei, Chair Professor, Earth and Space Sciences
CHEN Xiaolong, Assistant Professor, Electrical and Electronic Engineering
Chen Xihan, Assistant Professor, Mechanical and Energy Engineering
CHEN Xin, Associate Professor, Department of Statistics and Data Science
CHEN Xiu, Research Associate, College of Business
CHEN Xunwen, Research Assistant Professor, Environmental Science and Engineering
CHEN Yimao, Associate Professor, Mathematics
CHEN Yong, Research Assistant Professor, College of Engineering
CHEN Yonglong, Associate Professor, Biology
CHEN Yongshun, Chair professor, Ocean Science and Engineering
CHEN Yuanzhen, Associate Professor, Physics
CHEN Yuehong, Chair Professor, Centre for Humanities
CHEN Zhongren, Chair Professor, Chemistry
CHEN  I-Ming, Visiting Professor, Mechanical and Energy Engineering
Chen  Kejie, Assistant Professor, Earth and Space Sciences
CHENG Chun, Research Scientist, Materials Science and Engineering
CHENG Jingde, Teaching Professor, Computer Science and Engineering
CHENG Longzhen, Assistant Professor, Biology
CHENG Qingsha, Associate Professor, Electrical and Electronic Engineering
CHENG Ran, Associate Professor, Computer Science and Engineering
CHENG Xing, Professor, Materials Science and Engineering
CHENG Yongfeng, Research Assistant Professor, Chemistry
CHOI Chi-Yeung Jimmy, Research Assistant Professor, Environmental Science and Engineering
Chris Song Heng TAN, Associate Professor, Chemistry
CUI Dehu, Teaching Associate Professor, School of Microelectronics
CUI Huanhuan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
CUI Jianfang, Research Assistant Professor, Chemistry
CUI Jieshun, Research Associate Scientist, Materials Science and Engineering
CUI Shumo, Assistant Professor, International Center for Mathematics
Dafa CHEN, Research Associate Professor, Grubbs Institute
Jiefei Chen, Associate Professor, Institute for Quanfum Science and Engineering
Jingjing Chen, Assistant researcher, Institute for Quanfum Science and Engineering
Kai CHEN, R&D Professor, School of Microelectronics
Kanglin Chen, Assistant Professor, Division of Information Systems & Management Engineering
LEI Chen, Research Associate Professor, School of Microelectronics
Longqing Cong, Associate Professor, Electrical and Electronic Engineering
Oscar Lung Wa CHUNG, Professor, Chemistry
Peng CHEN, Assistant Professor, School of Microelectronics
QUAN Chen, Assistant Professor, School of Microelectronics
Xi Chen, , Biology
Xiaofang CAI, Research Assistant Professor, College of Business
Xiaojing Chen, Assistant Professor, Biology
Yu Chu, English Instructor, Center for Language Education
Yuan Chen, Assistant Researcher, Institute for Quanfum Science and Engineering
ZHI Zhiming, Visiting Distinguished Professor (Long-Term), Chemistry
Zhihao CHEN, Research Assistant Professor, Earth and Space Sciences
ALLISON Dansie, English Instructor, Center for Language Education
DAHLSTEN  Oscar, Associate Professor, Physics
DAI Junfeng, Assistant Professor, Institute for Quanfum Science and Engineering
DENG Hui, Assistant Professor, Mechanical and Energy Engineering
DENG Mengyu, Research Associate Scientist, Materials Science and Engineering
DENG Weiwei, Professor, Mechanics and Aerospace Engineering
DENG Xingwang, Visiting Distinguished Professor (Long-Term), Biology
DENG Yi, Teaching Professor, Biology
DENG Yonghong, Research Scientist, Materials Science and Engineering
DIDENKO Victor, Visiting Professor, Mathematics
DING Keqi, Research Assistant Professor, Mechanics and Aerospace Engineering
DING Sunan, Research Professor, School of Microelectronics
DING Yulong, Research Assistant Professor, Computer Science and Engineering
DONG Jintang, Chair Professor, Department of Human Cell Biology and Genetics
DONG Lunhong, Teaching Professor, Sports Center
Dong Zhe, , Chemistry
Dong  Li, Research Associate Professor, Earth and Space Sciences
Du Changzheng, Associate Professor, Department of Biochemistry
DU Erhu, Research Assistant Professor, Environmental Science and Engineering
DU Jiamu, Professor, Biology
DUAN Lele, Associate Professor, Chemistry
DUAN Yanhua, Research Assistant Professor, Environmental Science and Engineering
Guangren Duan, , Electrical and Electronic Engineering
Ke Deng, Assistant Researcher, Institute for Quanfum Science and Engineering
Rongrong DONG, English Instructor, Center for Language Education
Tao Dong, Professor, Biology
Xiaowei Deng, Assistant Researcher, Institute for Quanfum Science and Engineering
Xingli Dong, , Department of Pharmacology
Xiuhao Deng, Associate Researcher, Institute for Quanfum Science and Engineering
Ziwei Dai, Assistant Professor, Biology
Zongzheng Du, Assistant Researcher, Institute for Quanfum Science and Engineering
ALBERT Evans, English Instructor, Center for Language Education
(中文) 范靖云, , Institute for Quanfum Science and Engineering
FAN Dian, Research Assistant Professor, Environmental Science and Engineering
FAN Jiantao, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
FAN Linfeng, Research Assistant Professor, Environmental Science and Engineering
FAN Lu, Assistant Professor, Ocean Science and Engineering
Fan Xiaoshuai, Assistant Professor, Division of Information Systems & Management Engineering
FANG Fuquan, Chair Professor, Mathematics
FANG Ju, Research Associate Scientist, Materials Science and Engineering
FANG Liang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
FANG Xiaofeng, Research Assistant Professor, College of Engineering
FANG Xinding, Associate Professor, Earth and Space Sciences
FENG Jun, Professor, Materials Science and Engineering
FENG Lian, Associate Professor, Environmental Science and Engineering
FENG Weiqiang, Assistant Professor, Ocean Science and Engineering
FENG Xingya, Assistant Professor, Ocean Science and Engineering
FRED HAN, Associate Professor, School of System Design and Intelligent Manufacturing
Fu Baishan, , Institute for Quanfum Science and Engineering
FU Chenglong, Professor, Mechanical and Energy Engineering
FU Lei, Research Assistant Professor, Earth and Space Sciences
Fu Yang, Associate Professor, School of Medicine
FU Yong, Assistant Professor, Ocean Science and Engineering
FU Yunhao, Lecturer, Mathematics
FU Zongmei, Professor, Environmental Science and Engineering
Thomas Fischer, Professor, School of Design
XIAOHU Fang, Assistant Professor, School of Microelectronics
Gabrielle Mary JING, Associate Professor (Teaching), Department of Statistics and Data Science
GAN Xiaohua, Chair Professor, Mechanics and Aerospace Engineering
Gao Huanqing, Research Assistant Professor, Department of Biochemistry
Gao Hui, Tenure Track Assistant Professor, Mathematics
GAO Yuan, Assistant Professor, School of Microelectronics
Gao  Ke, Associate Professor, Earth and Space Sciences
GE Dongliang, Professor, School of Innovation and Entrepreneurship
GE Qi, Associate professor, Mechanical and Energy Engineering
GIBSON  Luke, Associate Professor, Environmental Science and Engineering
GONG Xin, Research Scientist, Biology
GONG Yi, Professor, Electrical and Electronic Engineering
GU Dongfeng, Chair Professor, School of Medicine
GU Jiawen, Tenure Track Assisstant Professor, Mathematics
GU jun, Assistant Professor, Chemistry
GU Liyi, Assistant Professor, Division of Information Systems & Management Engineering
GU Meng, Research Scientist, Materials Science and Engineering
GU Mingqiang, Research Associate Professor, Physics
GU Qiangshuai, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
GUI Zhigang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
GUO Chuanfei, Professor, Materials Science and Engineering
GUO Han, Research Associate Scientist, Materials Science and Engineering
GUO Hongwei, Chair Professor, Biology
GUO Liang, Assistant Professor, Mechanical and Energy Engineering
Guo Qing, Assistant Professor, Chemistry
GUO Qiongyu, Assistant Professor, College of Engineering
GUO Xugang, Professor, Materials Science and Engineering
GUO Yue, Associate Professor, Division of Information Systems & Management Engineering
GUO Zhen, Assistant Professor, Ocean Science and Engineering
GUO Zhilin, Research Assistant Professor, Environmental Science and Engineering
GUO Zhiyong, Research Assistant Professor, Biomedical Engineering
Junxin GUO, Research Assistant Professor, Earth and Space Sciences
Sebastian Garcia-Saenz, Assistant Professor, Physics
Shu Guo, Assistant Researcher, Institute for Quanfum Science and Engineering
STAVROS Garoufalidis, Chair Professor, International Center for Mathematics
Weijie Guo, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yuejin Guo, Research Professor, School of Microelectronics
Zhen GAO, , Electrical and Electronic Engineering
Ancheng HUANG, Associate Professor, Biology
Christiane M. Herr, Professor, School of Design
Hailiang Hu, Associate Professor, Department of Biochemistry
HAN Feng, Research Associate Professor, Environmental Science and Engineering
HAN Jingchun, Research Associate Professor, Grubbs Institute
HAN Peng, Assistant Professor, Earth and Space Sciences
HAN Song, Research Professor, School of Innovation and Entrepreneurship
HAN Wei, Research Professor, Research Center for Higher Education
HAO Qi, Associate Professor, Computer Science and Engineering
Hao Rui, Assistant Professor, Chemistry
HE Binbin, Associate professor, Mechanical and Energy Engineering
HE Chuan, Associate professor, Chemistry
HE Feng, professor, Chemistry
HE Hongtao, Associate Professor, Physics
HE Jiaqing, Chair Professor, Physics
HE Jin, Research Associate Scientist, Materials Science and Engineering
He Yunjiao, Research Assistant Professor, School of Medicine
HE Zhanxiang, Research Professor, Earth and Space Sciences
HE Zhubing, Research Scientist, Materials Science and Engineering
HE Zilin, Lecturer of PE, Sports Center
HERTZ Jana, Professor, Mathematics
HO Chun-Yu (Jason), Associate Professor, Chemistry
HO  Chun Loong, Assistant Professor, College of Engineering
HONG Wei, Professor, Mechanics and Aerospace Engineering
HONG Xiaoping, Assistant Professor, School of System Design and Intelligent Manufacturing
Hong Xin, Assistant Professor, School of Medicine
HOPWOOD Mark James, Assistant Professor, Ocean Science and Engineering
HOU Chao, Associate Professor, Ocean Science and Engineering
HOU Chunhui, Associate Professor, Biology
HOU Shengtao, Professor, Biology
HOU Shengwei, Assistant Professor, Ocean Science and Engineering
HOU Siyu, Lecturer of PE, Sports Center
HU Chengzhi, Associate Professor, Mechanical and Energy Engineering
HU Daning, , Department of Finance
HU Qing, Professor, Environmental Science and Engineering
HU Songbai, Research Assistant Professor, Physics
HU XiaoGang, Research Assistant Professor, Mechanical and Energy Engineering
HU Yong, Tenure Track Assistant Professor, Mathematics
HU Yuhui, Research Associate Professor, Biology
HUA Mengyuan, Assistant Professor, Electrical and Electronic Engineering
HUA Yongxia, Lecturer, Mathematics
HUANG Naizheng, Visiting Distinguished Professor (Long-Term), Chemistry
HUANG Hongda, Associate Professor, Biology
HUANG Jintao, Research Associate Scientist, Materials Science and Engineering
HUANG Kefu, Professor, Mechanics and Aerospace Engineering
HUANG Li, Associate Professor, Physics
HUANG Limin, Professor, Chemistry
HUANG Mingyuan, Associate Professor, Physics
HUANG Ruifang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
HUANG Shaochuang, Assistant Professor, Mathematics
HUANG Shidi, Associate Professor, Mechanics and Aerospace Engineering
HUANG Wei, Associate Professor, Biology
HUTCHINS  Andrew, Research Scientist, Biology
Jiashun HU, Assistant Professor, Earth and Space Sciences
Li He, Research Associate Professor, Electrical and Electronic Engineering
Liang Han, Research Assistant Professor, Grubbs Institute
Ling Hu, Assistant Researcher, Institute for Quanfum Science and Engineering
Peihao Huang, Assistant Researcher, Institute for Quanfum Science and Engineering
Qiaochu He, Associate Professor, Division of Information Systems & Management Engineering
Renke HE, Chair Professor, School of Design
Sicong HE, Assistant Professor, Biomedical Engineering
Wen Huang, Associate Researcher, Institute for Quanfum Science and Engineering
Xingwang Han, Research Assistant Professor, Grubbs Institute
Xinxin Han, Assistant Professor, School of Public Health and Emergency Management
Yanqing Hu, , Department of Statistics and Data Science
Yu He, Researcher, Institute for Quanfum Science and Engineering
Yuxiu Hu, English Instructor, Center for Language Education
Zhihai He, Chair Professor, Electrical and Electronic Engineering
IRMER Ingrid, Tenure Track Assistant Professor, International Center for Mathematics
ISHIBUCHI Hisao, Chair Professor, Computer Science and Engineering
Binbin JIANG, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
JI Shengjian, Associate Professor, Biology
JI Tao, Lecturer, Art Center
JIA Tiezheng, Assistant Professor, Chemistry
JIA Youwei, Assistant Professor, Electrical and Electronic Engineering
JIA zhenzhong, Assistant Professor, Mechanical and Energy Engineering
Jia  Ning, Assistant Professor, Department of Biochemistry
JIAN Linni, Associate Professor, Electrical and Electronic Engineering
JIANG Hong Yan, , Chemistry
JIANG Jiping, Research Associate Professor, Environmental Science and Engineering
JIANG Kai, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
JIANG Liguang, Assistant Professor, College of Engineering
JIANG Miao, Research Assistant Professor, Mechanical and Energy Engineering
JIANG Shaolong, Research Assistant Professor, Physics
JIANG Wei, Professor, Chemistry
JIANG Xiaodong, Research Assistant Professor, Ocean Science and Engineering
JIANG Xingyu, Chair Professor, Biomedical Engineering
JIANG Xuejun, Associate Professor, Department of Statistics and Data Science
JIANG Yan, Research Assistant Professor, Biology
JIANG Youwei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Jin Dayong, Chair professor, Biomedical Engineering
JIN Wenfei, Associate Professor, Biology
JING Zhicheng, Associate Professor, Earth and Space Sciences
Junming Jiang, , Electrical and Electronic Engineering
Li Jin, Chair Professor, Department of Finance
Matthew Jellick, Assistant Director, Center for Language Education
Xiyun Jiao, Assistant Proffesor, Department of Statistics and Data Science
KE Wende, Associate Teaching Professor, Mechanical and Energy Engineering
KUANG Xingxing, Associate Professor, Environmental Science and Engineering
KURGANOV Alexander, Professor, Mathematics
KWOK  Hoi-Sing, Visiting Professor, Electrical and Electronic Engineering
KYAW  Aung Ko Ko, Associate Professor, Electrical and Electronic Engineering
Thomas Kvan, Chair Professor, School of Design
WEILING KE, Professor, Division of Information Systems & Management Engineering
Benchuan Lin, Assistant Researcher, Institute for Quanfum Science and Engineering
Cai Liu, Research Assistant Professor, Institute for Quanfum Science and Engineering
Chao Liang, 副教授, Biology
Fan Liu, Assistant Professor, Electrical and Electronic Engineering
Jian Li, Associate Researcher, Institute for Quanfum Science and Engineering
Jian LI, Research Assistant Professor, Biology
Jingchun LI, Research Assistant Professor, Earth and Space Sciences
Jun Li, Associate Researcher, Institute for Quanfum Science and Engineering
Kwai Hei Li, Assistant Professor, School of Microelectronics
LAI Sha, Lecturer of PE, Sports Center
LAI Shufang, Assistant Professor, Department of Finance
Lan Meirong, Lecturer, Political Education and Research Center
LE Zheng, Professor, Political Education and Research Center
Lee HsuChew, Research Assistant Professor, Mechanics and Aerospace Engineering
LEI Yang, Visiting Assistant Professor, Division of Information Systems & Management Engineering
LEI Yang, Assistant Professor, Environmental Science and Engineering
LENG YuQuan, Research Assistant Professor, Mechanical and Energy Engineering
LERNER  David, Chair Professor, Environmental Science and Engineering
LI Bo, , Materials Science and Engineering
LI Caiheng, Chair Professor, Mathematics
LI Changjian, Research Associate Scientist, Materials Science and Engineering
Li Chuangchuang, Professor, Chemistry
LI Dayan, Research Assistant Professor, College of Engineering
LI Fengliang, Chair Professor, Centre for Humanities
LI Guipeng, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LI Guixin, Professor, Materials Science and Engineering
LI Hailong, Chair Professor, Environmental Science and Engineering
LI Hui, Chair Professor, Materials Science and Engineering
LI Jiangyu, Chair professor, Materials Science and Engineering
LI Jianhui, Research Associate, Mechanics and Aerospace Engineering
LI Jingzhi, Professor, Mathematics
LI Juexian, Visiting Professor, Mathematics
LI Junxue, Assistant Professor, Physics
LI Kai, Associate Professor, College of Engineering
LI Lan, Chair Professor, Centre for Humanities
LI Lei, Research Scientist, Materials Science and Engineering
LI Miao, Professor, Physics
LI Ming, Chair Professor, Research Center for Higher Education
LI Peipei, Assistant Professor, Department of Finance
LI Pengfei, Associate professor, Chemistry
LI Qi, Research Assistant Professor, Mechanics and Aerospace Engineering
LI Qian, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LI Ruixi, Assistant Professor, Biology
Li Run, Visiting Assistant Professor, Department of Finance
LI Sanbai, Research Associate Professor, Environmental Science and Engineering
LI Shaobo, Assistant Professor, Division of Information Systems & Management Engineering
LI Shilin, Research Assistant Professor, Ocean Science and Engineering
LI Shuai, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI Weiyi, Research Associate Professor, Environmental Science and Engineering
LI Wenyang, Research Assistant Professor, Biology
LI Xiang, Research Assistant Professor, Environmental Science and Engineering
LI Xiaodong, Visiting Professor, Mechanics and Aerospace Engineering
LI Xin, Research Associate Professor, Chemistry
Li Xinggang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI Xinxin, Assistant Professor, Ocean Science and Engineering
LI Ya, Research Professor, Academy for Advanced Interdisciplinary Sciences
LI Yan, 助理教授, Biology
LI Yi, Associate Professor, School of Microelectronics
LI Yiming, Research Professor, School of Innovation and Entrepreneurship
LI Yiming, Associate Professor, College of Engineering
LI Ying, Assistant Professor, Ocean Science and Engineering
LI Yuanyuan, Assistant Professor, Division of Information Systems & Management Engineering
LI Zeng, Associate Professor, Department of Statistics and Data Science
LI Zhan, Tenure Track Assistant Professor, Mathematics
LI Zhiyong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Li Zhongfei, Chair Professor, Department of Finance
LI Zhongliang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI  Zhuozhao, Assistant Professor, Computer Science and Engineering
LIANG Fengchao, Assistant Professor, School of Public Health and Emergency Management
LIANG Jiansheng, 教授, Biology
LIANG Xiuyu, Assistant Professor, Environmental Science and Engineering
LIANG Yongye, Professor, Materials Science and Engineering
Liming Liu, Chair Professor, Division of Information Systems & Management Engineering
Lin Jian, Chair professor, Ocean Science and Engineering
LIN Junhao, Research Scientist, Physics
LIN Meng, Assistant Professor, Mechanical and Energy Engineering
LIN Yuanjing, Assistant Professor, School of Microelectronics
LIN Yufeng, Associate Professor, Earth and Space Sciences
Lisha Liu, English Instructor, Center for Language Education
LIU Bei, Research Assistant Professor, Environmental Science and Engineering
LIU Bochen, Associate Professor, Mathematics
LIU Chang, Research Associate Scientist, Academy for Advanced Interdisciplinary Sciences
LIU Chang, Associate Professor, Physics
LIU Chao, Assistant Professor, College of Engineering
LIU Chongxuan, Chair Professor, Environmental Science and Engineering
LIU ChongYang, Chair Professor, Chemistry
LIU Chuang, Research Associate Professor, Biology
LIU Chuncheng, Research Associate Scientist, Materials Science and Engineering
LIU Chunhui, Associate Professor, Department of Finance
LIU Dong, Research Scientist, Biology
Liu Hanlin, Assistant Professor, Division of Information Systems & Management Engineering
LIU Hongmei, Research Associate Professor, Biomedical Engineering
LIU Hui, Chair Professor, Art Center
LIU Ji, Associate Professor, Mechanical and Energy Engineering
LIU Jialin, Research Assistant Professor, Computer Science and Engineering
LIU Jiang, Professor, Computer Science and Engineering
LIU Jianjun, Secretary, Sports Center
LIU Ju, Assistant professor, Mechanics and Aerospace Engineering
LIU Junguo, Chair Professor, Environmental Science and Engineering
LIU Junyang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LIU Kaijun, Professor, Earth and Space Sciences
LIU Ke, Chair Professor, Chemistry
LIU Keting, Lecturer, Art Center
Liu Leo Liu, Assistant Professor, Chemistry
LIU Peng, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LIU Qiang, Research Assistant Professor, Biomedical Engineering
Liu Qihang, Research Scientist, Physics
LIU Qingsong, Chair Professor, Ocean Science and Engineering
LIU Quan, Associate Professor, Department of Biochemistry
LIU Quanying, Assistant Professor, Biomedical Engineering
LIU SiCong, Research Assistant Professor, Mechanical and Energy Engineering
LIU Wei, Research Associate Professor, Mechanical and Energy Engineering
LIU Weihan, Associate Professor, Department of Finance
LIU Weishu, Research Scientist, Materials Science and Engineering
Liu Xiaoyu, Research Assistant Professor, School of Medicine
LIU Xin, Research Associate Professor, Environmental Science and Engineering
LIU Xinyuan, Associate Professor, Chemistry
LIU Xu, Assistant Professor, Research Center for Higher Education
LIU Yang, Lecturer, Centre for Humanities
LIU Yanjun, Associate Professor, Electrical and Electronic Engineering
LIU Yepang, Assistant Professor, Computer Science and Engineering
LIU Yijun, Chair Professor, Mechanics and Aerospace Engineering
LIU Ying, Research Assistant Professor, Physics
LIU Yu, Associate Professor, Mechanics and Aerospace Engineering
LIU Yungen, Research Associate Professor, Chemistry
LIU Zhaojun, Associate Professor, Electrical and Electronic Engineering
LIU Zhaoyang, Research Associate Professor, Mechanical and Energy Engineering
LIU Zhengbai, Research Professor, School of Innovation and Entrepreneurship
LIU Zhihui, Assistant Professor, Mathematics
LIU Zhiqiang, Assistant Professor, Ocean Science and Engineering
LONG Xin, Research Assistant Professor, Environmental Science and Engineering
LONGYANG Lin, Assistant Professor, School of Microelectronics
LOU Fei, Research Associate Scientist, Materials Science and Engineering
LU Chun, Chair Professor, Mechanics and Aerospace Engineering
LU Dawei, Associate Professor, Physics
LU Dong, Teaching Associate Professor, Mechanical and Energy Engineering
LU Dong, Adjunct Associate Professor, School of System Design and Intelligent Manufacturing
LU Haizhou, Professor, Physics
LU Hongxing, Research Assistant Professor, Mechanical and Energy Engineering
LU Jie, Research Assistant Professor, College of Engineering
LU Jingxiong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LU Wei, Associate Professor, Chemistry
LU Wenjun, Assistant Professor, Mechanical and Energy Engineering
LU Yang, Lecturer of PE, Sports Center
LU Zhouguang, Professor, Materials Science and Engineering
LUAN Hemi, Research Assistant Professor, School of Medicine
LUO Bingqing, Research Associate, School of Innovation and Entrepreneurship
LUO Dan, Vice Dept. Chair, Associate Professor, Electrical and Electronic Engineering
LUO Guangfu, Research Associate Scientist, Materials Science and Engineering
LUO Qibang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LUO Siyuan, Research Fellow, Environmental Science and Engineering
LUO Zhi, Associate Professor, Biomedical Engineering
Nanqin Liu, Assistant Professor, Department of Finance
Pai Liu, Research Assistant Professor, Electrical and Electronic Engineering
Qing Liu, English Instructor, Center for Language Education
Qinyuan Lei, Assistant Professor, School of Design
Shuping Liu, Research Assistant Professor, Institute for Quanfum Science and Engineering
Sirong Lu, Research Associate, Institute for Quanfum Science and Engineering
Song Liu, Associate Researcher, Institute for Quanfum Science and Engineering
Tao Lu, Assistant Professor, Division of Information Systems & Management Engineering
Tao Luo, Assistant Professor, School of Design
Wanqiu Li, assistant professor, School of Medicine
Xiaoguang LIU, Professor, School of Microelectronics
XIAOLONG Liu, Assistant Professor, School of Microelectronics
Yao Lu, Assistant Researcher, Institute for Quanfum Science and Engineering
Yao-Wang Li, Research Assistant Professor, Biology
YI Lu, Research Associate Professor, School of Medicine
Yida LI, Assistant Professor, School of Microelectronics
Yuankun Luo, Assistant Professor, Division of Information Systems & Management Engineering
Zhengda Li, Assistant Researcher, Institute for Quanfum Science and Engineering
Zhengwei LI, Research Assistant Professor, Earth and Space Sciences
Zhiyun Lin, Professor, Electrical and Electronic Engineering
Zhongmin Liu, Assistant Professor, Biology
Zhuo Li, English Instructor, Center for Language Education
刘奂奂, Research Associate Professor, Electrical and Electronic Engineering
Arnaud Nicolas Mignan, Associate Professor, Earth and Space Sciences
Jason Phipps Morgan, Chair professor, Ocean Science and Engineering
Jun Ma, Assistant Professor, Electrical and Electronic Engineering
MA dawei, Chair Professor, Chemistry
MA Fuming, Visiting Professor, Mathematics
MA Jinyuan, Research Associate Professor, Research Center for Higher Education
Ma Junjun, Lecturer, Political Education and Research Center
MA Xiaoguang, Assistant Professor, Physics
MA Yifang, Assistant Professor, Department of Statistics and Data Science
MA Yongfeng, , Mechanics and Aerospace Engineering
MA  Yuxin, Assistant Professor, Computer Science and Engineering
MAO Ganquan, Research Assistant Professor, Environmental Science and Engineering
MAO LinLin, Associate Professor, Chemistry
MAO Wei, Research Assistant Professor, School of Microelectronics
MATTEO LULLI, Research Assistant Professor, Mechanics and Aerospace Engineering
Max Q.-H. Meng, Chair Professor, Electrical and Electronic Engineering
MEI Jiawei, Research Associate Scientist, Physics
Meng Fanyu, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
MIN Long, Research Assistant Professor, Chemistry
MODESTO  Leonardo, Associate Professor, Physics
Xiaoming Ma, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yongsheng Ma, Professor, Mechanical and Energy Engineering
Jingjing Niu, Assistant Researcher, Institute for Quanfum Science and Engineering
NG  Alan Man-Ching, Associate Head, Materials Characterization and Preparation Center, Materials Characterization and Preparation Center
Ng  Jack Tsz-Fai, Associate Professor, Physics
NI Jinren, Visiting Distinguished Professor (Long-Term), Environmental Science and Engineering
NING Chengqing, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
NIU Yujuan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
OU Gang, Professor of Engineering Practice, School of System Design and Intelligent Manufacturing
OU Xijun, 助理教授, Biology
Guoxian Pei, Chair Professor, School of Medicine
KENT Patterson, English Instructor, Center for Language Education
PAN Quan, Assistant Professor, School of Microelectronics
Pan Yang, Assistant professor, Mechanical and Energy Engineering
PARK  Jaewon, Assistant Professor, School of Microelectronics
PI Sheng, Teaching Assistant, Art Center
PIMPL  Peter, Associate Professor, Biology
STEPHEN Pellerine, English Instructor, Center for Language Education
Tianluo Pan, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yonggang Pei, , School of Public Health and Emergency Management
Gongming Qian, Professor, Division of Information Systems & Management Engineering
